time,latitude,longitude,depth,mag
2021-03-01T02:37:33.601Z,44.3526,-115.1929,10.0,2.9
2021-03-01T06:17:09.090Z,34.1803333,-117.559,9.23,2.86
2021-03-01T08:50:41.492Z,44.3209,-115.1884,10.2,3.5
2021-03-01T08:53:06.419Z,48.3748,-114.4305,10.0,2.6
2021-03-01T10:24:47.899Z,35.8535,-98.19816667,7.41,2.52
2021-03-01T11:24:39.578Z,36.8569,-104.9914,4.76,3.1
2021-03-01T13:38:07.167Z,31.68148696,-104.4226906,6.799975586,3.1
2021-03-01T14:24:02.890Z,34.39566667,-97.4245,5.6,2.6
2021-03-01T15:17:18.830Z,32.7523333,-115.8271667,11.26,2.77
2021-03-01T21:30:34.130Z,35.85333333,-98.19983333,7.14,2.62
2021-03-01T22:09:12.289Z,34.39983333,-97.42316667,5.43,2.55
2021-03-01T22:13:48.390Z,35.9478333,-117.3601667,3.08,2.69
2021-03-01T22:26:44.820Z,38.7581667,-122.729,1.24,2.88
2021-03-01T23:13:47.399Z,35.12116667,-95.32566667,7.37,2.63
2021-03-02T12:33:55.859Z,34.39616667,-97.41866667,5.13,2.58
2021-03-02T15:07:29.500Z,35.093,-116.9625,2.62,2.69
2021-03-02T17:44:30.500Z,34.4611667,-117.9656667,8.17,2.65
2021-03-02T20:58:53.428Z,29.12750244,-97.7064568,6.138142904,2.5
2021-03-02T23:14:02.295Z,40.8479,-116.4141,0.0,2.8
2021-03-03T02:34:12.456Z,38.1699,-117.817,8.3,3.1
2021-03-03T06:39:43.806Z,44.4294,-114.6937,13.58,2.7
2021-03-03T07:26:35.069Z,31.73288966,-104.0967372,6.697143555000001,3.2
2021-03-03T18:06:27.166Z,47.5655,-92.8476,0.0,2.9
2021-03-03T20:12:53.012Z,43.5922,-105.1055,0.0,3.0
2021-03-03T21:05:31.621Z,43.7997,-105.2934,0.0,3.3
2021-03-04T02:49:56.490Z,38.8024,-118.1337,10.4,2.6
2021-03-04T15:53:28.550Z,38.4801667,-122.533,10.6,3.09
2021-03-04T16:38:05.491Z,44.5321,-115.2268,12.15,2.5
2021-03-04T16:43:10.206Z,44.174,-105.3801,0.0,2.9
2021-03-04T19:48:34.842Z,44.3537,-115.1918,10.0,2.9
2021-03-05T00:39:56.229Z,44.1395,-115.0781,9.67,2.7
2021-03-05T02:11:48.320Z,37.3653333,-119.9916667,19.33,2.61
2021-03-05T05:30:55.111Z,38.1554,-117.9499,10.5,2.6
2021-03-05T05:32:46.040Z,36.1628333,-118.0693333,1.69,2.98
2021-03-05T08:26:35.100Z,36.29633333,-98.179,7.83,3.54
2021-03-05T09:22:26.534Z,38.1541,-117.892,9.8,2.7
2021-03-05T13:22:02.080Z,35.7703333,-118.0176667,2.61,2.86
2021-03-05T17:28:01.091Z,44.3242,-115.2273,11.59,2.5
2021-03-05T18:21:00.911Z,47.5722,-92.542,0.0,3.0
2021-03-05T18:33:11.710Z,35.9123333,-117.7023333,6.77,3.26
2021-03-06T01:52:42.940Z,38.805,-122.7785,0.96,2.69
