time,latitude,longitude,depth,mag
2020-09-01T00:30:52.227Z,38.1765,-117.8019,6.7,3.5
2020-09-01T00:36:59.811Z,38.0039,-118.2358,6.6,3.4
2020-09-01T01:39:34.960Z,36.3943333,-120.437,9.19,2.87
2020-09-01T02:25:49.130Z,42.37,-118.444,8.45,3.52
2020-09-01T05:51:36.757Z,38.1798,-117.8634,9.2,3.3
2020-09-01T08:51:26.458Z,38.1759,-117.8014,5.8,2.8
2020-09-01T09:08:48.644Z,43.7799,-107.6074,10.0,2.8
2020-09-01T16:56:23.593Z,38.2002,-117.7724,10.0,2.5
2020-09-01T18:59:44.436Z,43.8017,-105.5253,0.0,3.3
2020-09-01T20:02:10.047Z,44.4772,-115.2,13.23,3.2
2020-09-01T20:32:31.328Z,44.5431,-116.0063,10.0,2.9
2020-09-02T04:51:46.611Z,31.7235,-104.099,8.58,3.3
2020-09-02T04:52:49.510Z,31.76,-104.072,5.0,3.1
2020-09-02T05:18:35.195Z,31.7371,-104.0994,5.27,2.5
2020-09-02T07:03:51.336Z,44.5391,-116.0169,5.66,2.5
2020-09-02T07:05:39.544Z,38.1769,-117.8018,6.1,3.1
2020-09-02T08:46:49.586Z,38.1368,-118.0104,2.2,2.6
2020-09-02T14:13:18.582Z,31.7377,-104.1039,6.91,2.8
2020-09-02T16:18:31.660Z,36.0378333,-117.7731667,1.88,3.45
2020-09-03T01:55:38.616Z,38.1873,-117.8736,9.8,3.3
2020-09-03T03:52:27.111Z,31.736,-104.1057,8.03,3.0
2020-09-03T06:52:01.433Z,46.8927,-112.5452,10.0,2.5
2020-09-03T15:07:53.153Z,31.0271,-87.1846,4.0,3.8
2020-09-03T16:05:18.251Z,31.6671,-104.3723,5.0,2.5
2020-09-03T16:25:43.939Z,47.4929,-92.5701,0.0,3.2
2020-09-03T19:41:30.716Z,45.7763,-106.629,0.0,2.8
2020-09-04T09:25:38.521Z,44.1321,-115.087,10.0,2.5
2020-09-04T10:13:01.820Z,36.8936667,-121.4958333,6.54,2.87
2020-09-04T11:39:18.200Z,36.4661667,-117.9616667,7.02,3.0
2020-09-04T13:26:58.136Z,31.6383,-104.4681,5.28,2.9
2020-09-04T14:24:44.100Z,34.0878333,-116.8536667,1.9,3.14
2020-09-04T20:26:44.399Z,38.1571,-117.8776,5.6,2.8
2020-09-04T20:42:11.364Z,31.5901,-104.2335,9.75,2.7
2020-09-05T01:48:01.252Z,28.9588,-98.1002,5.0,2.6
2020-09-05T02:50:08.952Z,28.9152,-98.1215,5.0,2.6
2020-09-05T03:14:58.250Z,35.6733333,-117.4646667,8.82,3.04
2020-09-05T07:17:12.160Z,38.0395,-122.2046667,10.35,2.74
2020-09-05T08:48:49.559Z,28.9193,-98.1317,5.0,2.8
2020-09-05T14:13:13.200Z,31.7388,-104.0963,6.8,2.8
2020-09-05T16:23:58.356Z,44.3464,-115.1891,10.0,2.9
2020-09-06T01:48:36.530Z,34.564,-120.062,12.76,3.9
2020-09-06T08:45:52.360Z,37.0011,-105.0064,6.83,2.7
2020-09-06T11:08:14.710Z,34.745,-97.573,7.0,3.43
2020-09-06T11:59:43.570Z,35.9506667,-117.358,3.03,2.54
2020-09-06T12:04:12.121Z,31.6793,-104.3918,5.0,2.8
2020-09-06T13:13:28.096Z,43.9558,-113.7447,10.0,2.7
2020-09-06T18:36:03.240Z,37.7146667,-122.124,8.91,2.56
2020-09-06T18:43:57.660Z,37.7155,-122.1271667,8.92,3.21
2020-09-06T21:13:48.719Z,31.6838,-104.3345,5.0,2.7
2020-09-07T00:47:06.884Z,38.1544,-117.948,10.1,3.5
2020-09-07T01:16:00.035Z,31.5807,-104.2151,5.0,3.0
2020-09-07T01:18:59.524Z,31.5769,-104.2082,6.78,2.7
2020-09-07T03:57:43.120Z,35.9456667,-120.4921667,9.93,2.58
