time,latitude,longitude,depth,mag
2022-01-01T00:27:51.990Z,40.4771667,-124.3223333,19.08,2.88
2022-01-01T06:10:48.010Z,35.8995,-120.441,5.65,3.29
2022-01-01T08:33:48.700Z,38.7745,-122.728,1.53,2.67
2022-01-01T09:48:40.700Z,38.1096667,-118.9556667,16.63,2.68
2022-01-01T19:25:42.770Z,38.1694,-117.8237,8.1,2.5
2022-01-01T23:03:52.032Z,43.6819,-105.3755,0.0,3.2
2022-01-02T04:24:32.868Z,31.75364197,-104.5804176,5.745947266,2.6
2022-01-02T13:05:52.871Z,38.162,-117.8369,9.9,3.0
2022-01-02T21:01:57.278Z,31.7507299,-104.5997817,5.848779297,2.6
2022-01-02T21:08:17.489Z,32.2869873,-101.7752001,8.16788737,3.2
2022-01-02T22:39:57.727Z,31.61739432,-104.0126838,6.697143555000001,2.7
2022-01-02T23:36:09.060Z,36.8198333,-112.9991667,16.73,2.63
2022-01-03T00:31:47.380Z,31.65650967,-104.3002824,6.851391602,3.2
2022-01-03T02:34:48.200Z,35.284,-119.3906667,17.73,3.92
2022-01-03T03:02:30.170Z,35.2811667,-119.3926667,21.55,2.95
2022-01-03T03:11:56.842Z,31.62382095,-104.0148671,7.262719727000001,2.6
2022-01-03T03:20:33.750Z,44.9861,-113.0882,5.0,2.5
2022-01-03T03:44:45.468Z,44.9806,-113.0674,5.0,2.6
2022-01-03T06:30:53.912Z,31.65466829,-104.3008059,7.211303711,3.6
2022-01-03T09:08:30.741Z,31.65191394,-104.3002459,7.314135742,3.5
2022-01-03T09:28:27.902Z,31.66108063,-104.3046246,8.136791992,3.1
2022-01-03T10:49:30.450Z,34.177,-80.701,2.05,2.53
2022-01-03T12:24:45.522Z,31.62060196,-104.0153894,7.416967772999999,3.2
2022-01-03T14:57:26.155Z,37.3287,-97.7059,5.0,2.7
2022-01-03T16:00:08.353Z,31.65512786,-104.3008096,7.725463867,3.5
2022-01-03T16:36:18.460Z,31.65840315,-104.2906092,7.314135742,2.8
2022-01-03T17:21:19.120Z,37.4413333,-112.995,3.72,2.62
2022-01-03T17:26:55.500Z,31.65194162,-104.2954023,7.93112793,3.0
2022-01-03T18:13:44.915Z,31.6634493,-104.2922635,7.57121582,2.5
2022-01-03T21:01:46.541Z,43.9499,-105.2868,0.0,3.3
2022-01-04T04:02:02.383Z,31.68726376,-104.4518179,5.308911133,3.6
2022-01-04T05:58:13.875Z,28.49212646,-100.2894072,1.051554362,2.6
2022-01-04T11:18:29.210Z,37.6643333,-122.4705,7.99,2.6
2022-01-04T20:28:54.410Z,37.4366667,-118.4995,4.62,2.61
2022-01-04T23:22:39.593Z,41.094,-115.35,4.2,3.6
2022-01-05T02:53:43.782Z,31.6623652,-104.3207826,7.776879883,3.3
2022-01-05T06:45:10.770Z,34.185,-80.7263333,0.46,2.57
2022-01-05T07:05:52.897Z,43.1999,-110.5263,3.44,2.6
2022-01-05T07:20:55.658Z,38.1764,-117.8141,9.3,2.6
2022-01-05T07:21:14.365Z,38.1677,-117.8238,9.9,4.2
2022-01-05T07:26:39.794Z,38.1688,-117.8245,9.6,2.8
2022-01-05T20:20:34.190Z,40.4543333,-124.274,25.14,2.57
2022-01-05T21:56:22.395Z,31.65286383,-104.2948714,7.57121582,2.8
2022-01-05T22:06:16.845Z,45.8121,-106.7243,0.0,3.2
2022-01-05T22:55:11.566Z,37.3211,-97.7281,12.65,2.5
2022-01-05T23:37:46.784Z,31.67606494,-104.4086435,6.080151367,2.9
2022-01-06T00:03:23.429Z,44.3184,-115.2044,13.25,2.6
2022-01-06T00:28:07.010Z,37.3338333,-117.9023333,9.5,4.75
2022-01-06T00:36:38.813Z,31.60185969,-104.3323923,7.699755859,2.6
2022-01-06T01:08:38.240Z,40.4511667,-124.3326667,26.98,2.82
2022-01-06T01:43:10.760Z,44.7893333,-110.8123333,8.12,2.52
2022-01-06T04:21:23.192Z,38.17,-117.8851,7.6,3.4
2022-01-06T05:49:56.570Z,31.67129757,-104.399718,6.671435547,2.8
2022-01-06T09:34:00.884Z,31.67467916,-104.4097076,6.440063477,2.8
2022-01-06T10:24:38.984Z,37.3018,-97.7261,5.0,2.5
