time,latitude,longitude,depth,mag
2021-07-01T02:55:33.301Z,44.4345,-115.1907,10.0,2.7
2021-07-01T03:35:59.490Z,36.5886667,-121.1841667,2.82,2.57
2021-07-01T03:53:12.270Z,36.589,-121.1828333,3.08,2.82
2021-07-01T05:33:52.618Z,32.71453857,-100.6872856,6.089233398,3.4
2021-07-01T17:09:05.410Z,47.5443,-92.5947,0.0,3.0
2021-07-01T22:25:16.450Z,36.105,-117.864,2.7,2.5
2021-07-02T16:10:13.400Z,38.8336667,-122.8325,1.17,2.71
2021-07-03T04:58:09.560Z,35.5178333,-118.3781667,6.53,3.47
2021-07-03T06:36:18.090Z,35.952,-120.5,10.51,3.09
2021-07-03T08:19:37.887Z,44.2759,-114.8179,10.0,2.7
2021-07-03T08:22:25.550Z,34.1333333,-117.48,4.67,3.41
2021-07-03T09:47:11.730Z,34.2511667,-117.0985,4.14,3.01
2021-07-03T10:41:39.600Z,35.9495,-120.4993333,10.43,3.15
2021-07-03T13:31:36.430Z,44.66,-110.7461667,9.77,2.56
2021-07-03T16:13:14.659Z,44.0468,-105.4071,0.0,3.0
2021-07-03T17:01:02.211Z,43.7063,-105.4929,0.0,2.5
2021-07-03T22:57:03.386Z,43.5034,-105.4161,0.0,2.9
2021-07-03T23:23:51.380Z,37.0516667,-120.8746667,5.75,3.74
2021-07-04T02:18:35.694Z,35.9559,-108.3769,5.0,3.1
2021-07-04T18:40:25.859Z,31.60594878,-104.5422212,7.185595703,2.6
2021-07-04T21:17:42.449Z,43.6458,-107.3763,16.55,3.6
2021-07-04T22:35:00.774Z,34.6322,-111.0795,5.0,2.8
2021-07-05T14:32:14.890Z,36.6075,-121.2093333,5.47,2.52
2021-07-05T20:12:33.533Z,43.7542,-105.3793,0.0,3.4
2021-07-05T23:01:24.850Z,34.7141667,-116.3018333,3.88,2.76
2021-07-06T02:38:01.000Z,35.6815,-117.5335,6.1,3.53
2021-07-06T03:36:18.844Z,44.4184,-115.2744,10.0,2.7
2021-07-06T03:39:50.380Z,35.6751667,-117.5206667,7.26,2.79
2021-07-06T06:22:33.577Z,31.611815,-104.4949413,6.979931641,2.5
2021-07-06T11:44:40.638Z,46.3679,-107.7505,10.0,3.6
2021-07-06T20:33:29.430Z,38.823,-122.7928333,3.03,2.5
2021-07-06T23:30:20.700Z,33.796,-116.9253333,9.23,2.52
2021-07-07T04:13:36.742Z,31.66659586,-104.4158241,6.671435547,2.9
2021-07-07T13:05:31.428Z,31.6004616,-104.2549233,7.288427734,3.1
2021-07-07T16:06:50.773Z,44.3995,-105.5676,0.0,2.9
2021-07-08T07:36:26.100Z,38.5531667,-122.323,10.0,3.58
2021-07-08T14:09:49.619Z,36.52866667,-98.997,7.86,2.96
2021-07-08T14:16:59.590Z,36.527,-98.998,7.87,2.71
2021-07-08T19:27:09.328Z,31.64657789,-104.2251296,6.979931641,2.8
2021-07-08T19:59:16.148Z,43.7676,-105.2856,0.0,3.3
2021-07-08T20:46:35.857Z,31.6495,-104.3346,5.0,2.5
2021-07-08T21:21:50.469Z,43.4553,-105.2728,0.0,3.1
2021-07-08T22:49:48.110Z,38.5075,-119.4998333,7.45,6.0
2021-07-08T22:50:14.370Z,38.5126667,-119.5021667,7.4,5.03
2021-07-08T22:57:29.880Z,38.5228,-119.5018,3.77,3.2
2021-07-08T22:58:53.780Z,38.5273333,-119.5271667,6.26,2.96
2021-07-08T22:59:45.260Z,38.5128333,-119.5106667,6.74,4.31
