time,latitude,longitude,depth,mag
2020-11-01T00:47:37.474Z,31.6067,-104.2486,5.0,3.0
2020-11-01T01:50:56.968Z,31.6295,-104.4753,5.0,2.8
2020-11-01T02:28:21.810Z,34.5126667,-86.6156667,13.07,2.62
2020-11-01T04:15:45.029Z,31.7229,-104.087,5.0,2.8
2020-11-01T08:33:38.671Z,46.8722,-112.5118,11.39,2.5
2020-11-01T15:56:49.615Z,44.3093,-115.1371,10.0,2.6
2020-11-02T02:20:34.280Z,36.0271667,-120.5875,4.48,2.83
2020-11-02T16:26:29.780Z,34.8598333,-116.3381667,5.31,2.64
2020-11-02T18:22:42.511Z,44.5579,-115.2077,10.0,2.9
2020-11-02T22:22:14.470Z,39.3638333,-123.2433333,7.08,2.89
2020-11-03T01:41:59.572Z,31.2567,-103.4862,5.0,3.0
2020-11-03T17:41:19.160Z,39.367,-123.2448333,7.0,3.34
2020-11-03T19:58:24.353Z,43.8118,-105.3271,0.0,3.4
2020-11-03T23:18:50.124Z,44.3675,-115.1372,10.0,3.2
2020-11-04T00:20:24.770Z,37.6391667,-119.3898333,11.81,3.4
2020-11-04T02:47:30.594Z,38.1721,-117.8911,9.5,2.6
2020-11-04T05:38:16.382Z,31.6033,-104.2504,5.0,2.8
2020-11-04T05:38:49.374Z,31.6174,-104.2485,5.0,2.7
2020-11-04T07:51:32.563Z,44.3436,-115.0169,14.01,2.5
2020-11-04T20:26:40.692Z,43.6409,-105.3951,0.0,3.2
2020-11-05T00:35:48.010Z,34.9791667,-119.0285,11.44,2.7
2020-11-05T01:02:06.503Z,38.0681,-118.2662,7.5,2.5
2020-11-05T07:38:47.512Z,44.578,-115.1885,10.0,2.7
2020-11-05T11:53:44.760Z,36.0291667,-117.7773333,1.61,2.61
2020-11-05T12:21:09.310Z,47.8476666666667,-122.022,29.86,2.61
2020-11-05T16:11:34.540Z,35.6376667,-117.4506667,7.97,2.57
2020-11-05T16:39:11.461Z,29.0969,-97.8419,5.0,2.6
2020-11-05T18:14:30.970Z,35.7338333,-117.7263333,6.77,2.7
2020-11-05T20:08:54.483Z,45.1313,-106.8484,0.0,3.3
2020-11-05T21:45:17.191Z,29.1134,-97.801,5.89,2.6
2020-11-05T23:47:18.135Z,44.5339,-115.2749,10.0,2.7
2020-11-06T06:20:06.318Z,31.6261,-109.1419,19.7,3.0
2020-11-06T08:37:00.249Z,38.1639,-117.827,7.1,2.5
2020-11-06T14:19:30.737Z,38.1663,-117.895,8.8,2.6
2020-11-06T16:34:05.008Z,44.4519,-115.1675,10.0,2.7
2020-11-06T19:33:03.686Z,44.3045,-115.2143,15.65,2.8
2020-11-06T19:37:20.394Z,31.1021,-103.2514,2.64,3.2
2020-11-06T20:22:09.952Z,44.3193,-115.1842,16.01,2.8
2020-11-06T20:27:37.040Z,32.967,-115.9423333,10.84,2.58
2020-11-06T21:06:37.714Z,31.0982,-103.2808,1.87,3.1
2020-11-07T03:35:16.137Z,31.7118,-104.5329,5.0,2.5
2020-11-07T05:39:50.330Z,40.3095,-122.1088333,15.81,2.68
2020-11-07T08:00:22.105Z,44.3213,-115.1886,10.0,2.8
2020-11-07T08:12:48.139Z,44.2733,-115.0279,10.0,2.8
2020-11-07T09:35:46.622Z,44.4808,-115.1694,10.0,3.1
2020-11-07T19:52:57.300Z,38.8345,-122.8063333,2.62,2.53
2020-11-08T02:40:05.550Z,36.428,-90.8205,15.06,2.62
2020-11-08T07:05:05.000Z,35.7371667,-121.1666667,5.65,2.63
2020-11-08T08:07:12.930Z,36.5858333,-121.1851667,4.36,2.84
2020-11-08T10:04:47.117Z,38.18,-117.8036,10.0,3.1
2020-11-08T11:19:56.930Z,38.274,-108.9276667,-0.32,3.81
2020-11-08T14:10:06.958Z,41.5208,-70.9546,10.0,3.6
2020-11-08T19:18:49.821Z,37.5884,-104.798,7.14,2.5
2020-11-08T20:36:34.480Z,37.6388333,-119.403,10.07,2.5
2020-11-08T20:48:41.600Z,37.6315,-119.4033333,11.79,2.61
2020-11-08T21:19:55.122Z,31.8986,-103.4622,5.98,2.7
2020-11-08T21:49:23.350Z,36.6578333,-121.2791667,4.4,2.7
2020-11-09T07:35:35.360Z,37.1836667,-81.8298333,0.0,2.65
2020-11-09T08:13:22.984Z,38.1601,-117.8858,8.3,2.7
2020-11-09T11:56:46.727Z,31.9343,-102.3165,3.6,3.0
2020-11-09T15:22:10.350Z,35.9793333,-117.682,1.81,3.1
2020-11-09T15:25:42.200Z,35.9788333,-117.6835,2.0,2.81
2020-11-09T22:24:51.147Z,38.1537,-117.8933,8.3,2.8
2020-11-10T01:44:21.223Z,38.1561,-117.8968,5.5,2.7
2020-11-10T03:17:37.588Z,38.1246,-118.0783,5.0,2.5
2020-11-10T11:43:55.549Z,44.5547,-115.1934,10.0,3.1
2020-11-10T15:28:29.950Z,40.413,-123.8636667,31.04,2.94
2020-11-10T16:01:50.159Z,34.9965,-97.576,6.15,2.53
2020-11-10T18:09:58.840Z,37.639,-119.4063333,9.54,2.8
2020-11-10T18:34:24.740Z,37.6293333,-119.4,3.85,2.6
2020-11-10T21:00:54.265Z,43.7448,-105.4075,0.0,3.4
2020-11-10T21:17:16.340Z,37.6395,-119.3993333,6.74,2.72
2020-11-11T08:18:39.432Z,44.5574,-115.1927,13.67,2.6
2020-11-11T09:33:13.859Z,44.4865,-115.2182,10.0,2.9
2020-11-11T10:09:07.324Z,44.4992,-115.2233,10.0,2.9
2020-11-11T19:50:09.405Z,44.1015,-105.4481,0.0,3.0
2020-11-11T20:26:59.420Z,36.8055,-121.536,6.9,3.3
2020-11-11T20:39:55.666Z,45.7949,-106.647,0.0,3.2
2020-11-11T20:48:33.020Z,36.8035,-121.5313333,6.47,2.97
2020-11-11T22:02:55.411Z,39.0034,-118.8007,0.0,2.8
2020-11-12T07:28:23.096Z,38.1627,-118.1086,4.6,2.9
2020-11-12T14:55:31.990Z,34.685,-116.3078333,4.75,2.65
2020-11-12T16:31:10.869Z,36.53566667,-98.97983333,6.67,2.59
2020-11-12T17:11:47.880Z,38.1638,-118.1066,4.7,2.8
2020-11-12T18:23:34.140Z,47.5688,-92.6767,0.0,3.0
2020-11-12T20:11:42.460Z,31.7217,-104.5485,7.73,3.4
2020-11-12T20:49:44.080Z,45.9633333333333,-122.075166666667,9.78,2.85
2020-11-13T01:07:20.090Z,36.7896667,-121.5171667,6.79,2.78
2020-11-13T02:48:18.209Z,44.3636,-114.9733,10.0,2.7
2020-11-13T02:59:31.836Z,44.332,-115.0161,10.0,2.6
2020-11-13T05:56:53.180Z,33.1598333,-115.6296667,5.21,2.64
2020-11-13T09:13:51.862Z,38.1693,-117.8533,4.8,5.3
2020-11-13T09:15:31.744Z,38.1787,-117.8544,9.03,4.0
2020-11-13T09:29:24.412Z,38.1718,-117.7965,10.1,4.3
2020-11-13T09:32:50.167Z,38.1568,-117.867,4.7,3.4
2020-11-13T09:32:54.763Z,38.1666,-117.8385,5.3,3.4
2020-11-13T09:39:58.669Z,38.1661,-117.8305,7.3,2.5
2020-11-13T09:41:12.809Z,38.1574,-117.8694,4.7,2.8
2020-11-13T10:30:17.047Z,38.1592,-117.8634,4.5,2.8
2020-11-13T10:42:54.575Z,38.1666,-117.8657,5.2,2.7
2020-11-13T10:52:59.755Z,44.3635,-115.1699,10.0,2.7
2020-11-13T10:54:31.661Z,44.3662,-115.1906,10.0,4.1
2020-11-13T11:18:41.112Z,38.1631,-117.8627,5.9,2.8
2020-11-13T11:32:48.171Z,38.1894,-117.7536,10.5,3.1
2020-11-13T11:55:01.694Z,44.3813,-115.1454,10.0,2.5
2020-11-13T12:30:45.078Z,38.1659,-117.864,5.1,3.0
2020-11-13T12:54:29.577Z,38.1665,-117.8524,8.1,2.5
2020-11-13T13:39:38.168Z,38.1622,-117.8655,5.0,3.3
2020-11-13T14:21:10.820Z,38.822,-122.8,3.11,2.82
2020-11-13T15:47:20.767Z,38.1704,-117.8582,6.4,2.6
2020-11-13T17:43:23.664Z,38.1707,-117.8419,6.7,3.3
2020-11-13T17:56:59.985Z,44.2996,-115.1938,14.39,3.2
2020-11-13T21:01:44.990Z,38.1623,-117.8615,5.4,3.5
2020-11-13T21:10:05.346Z,38.1853,-117.749,10.3,2.5
2020-11-13T22:08:02.644Z,38.1662,-117.8558,5.6,3.2
2020-11-14T01:04:11.789Z,44.2951,-115.1582,10.0,2.9
2020-11-14T02:33:04.260Z,38.1621,-117.8679,4.8,2.7
2020-11-14T04:28:46.186Z,44.314,-115.1806,10.0,3.4
2020-11-14T04:29:17.593Z,44.2982,-115.1995,10.0,3.7
2020-11-14T04:46:26.713Z,38.1975,-117.7449,10.6,2.5
2020-11-14T07:10:01.958Z,38.1694,-117.8213,6.1,2.8
2020-11-14T08:59:33.621Z,38.1755,-117.7809,9.8,2.9
2020-11-14T11:07:06.323Z,38.1658,-117.8641,5.3,2.8
2020-11-14T12:09:15.898Z,38.1947,-117.7337,8.6,2.5
2020-11-14T12:42:37.140Z,38.1626,-117.8673,5.2,3.4
2020-11-14T15:07:33.127Z,38.1849,-117.7505,10.7,3.0
2020-11-14T19:57:36.930Z,38.1661,-117.8485,8.1,2.9
2020-11-14T20:33:03.064Z,44.3981,-115.2064,14.19,2.9
2020-11-14T23:06:44.906Z,31.7284,-104.0927,5.0,2.5
2020-11-14T23:08:21.003Z,31.726,-104.1069,5.0,2.8
2020-11-15T00:06:02.138Z,38.1604,-117.8624,6.3,2.7
2020-11-15T04:27:02.281Z,32.9113,-100.8806,5.0,3.5
2020-11-15T07:30:32.280Z,38.1639,-117.8675,4.6,2.9
2020-11-15T07:51:01.088Z,38.1938,-117.7347,9.6,2.5
2020-11-15T09:17:28.136Z,38.1649,-117.8508,6.3,2.9
2020-11-15T15:20:58.850Z,37.5345,-118.8283333,9.46,2.88
2020-11-15T15:44:53.845Z,31.7349,-104.0986,5.0,3.3
2020-11-15T20:00:42.600Z,44.3306,-115.0812,10.0,2.7
2020-11-15T20:12:29.580Z,44.331,-115.0132,10.0,2.7
